,KWH
1503,17005
1504,9194
1505,14130
1506,14388
1507,14370
1508,22450
1509,6487
1510,17458
1511,10487
1512,11967
1513,8713
1514,15126
1515,11755
1516,8885
1517,7049
1518,8772
1519,7482
1520,7348
1521,7031
1522,6002
1523,24912
1524,21909
1525,17031
1526,2901
1527,11526
1528,10315
1529,7794
1530,16776
1531,3475
1532,5348
1533,6237
1534,30138
1535,8906
1536,12114
1537,9341
1538,17611
1539,15833
1540,6989
1541,5102
1542,12789
1543,32644
1544,8075
1545,23447
1546,9524
1547,19074
1548,8154
1549,17733
1550,3351
1551,18457
1552,16409
1553,5467
1554,8267
1555,15984
1556,16988
1557,23714
1558,7443
1559,7830
1560,9840
1561,8768
1562,13965
1563,14476
1564,12562
1565,6528
1566,19998
1567,11232
1568,14339
1569,8201
1570,13974
1571,5417
1572,11660
1573,12039
1574,6888
1575,8595
1576,11019
1577,6032
1578,12252
1579,21619
1580,6160
1581,13451
1582,4462
1583,5277
1584,6533
1585,3235
1586,13673
1587,22595
1588,11767
1589,9348
1590,15753
1591,18941
1592,2903
1593,2491
1594,26609
1595,4909
1596,6772
1597,3583
1598,7584
1599,9979
1600,4435
1601,14829
1602,13486
1603,11011
1604,32698
1605,13703
1606,10507
1607,20901
1608,12481
1609,6342
1610,6880
1611,5810
1612,18724
1613,8688
1614,22793
1615,3792
1616,7658
1617,11400
1618,8396
1619,6061
1620,6457
1621,7901
1622,11020
1623,4273
1624,2698
1625,8767
1626,19284
1627,10682
1628,6907
1629,14811
1630,8176
1631,5694
1632,8769
1633,3066
1634,15153
1635,19078
1636,1240
1637,7611
1638,9981
1639,5562
1640,7817
1641,30375
1642,8118
1643,4059
1644,9918
1645,8823
1646,10949
1647,11067
1648,15744
1649,9871
1650,8394
1651,5911
1652,5487
1653,28249
1654,5951
1655,7078
1656,13765
1657,14165
1658,6467
1659,9297
1660,8396
1661,9579
1662,7681
1663,18562
1664,8443
1665,686
1666,4114
1667,14440
1668,31260
1669,11315
1670,8251
1671,8769
1672,2378
1673,23778
1674,10883
1675,5746
1676,3914
1677,3305
1678,4889
1679,11798
1680,5021
1681,8121
1682,7706
1683,3371
1684,9749
1685,3852
1686,11487
1687,30217
1688,9183
1689,8120
1690,8331
1691,28824
1692,12151
1693,7297
1694,5314
1695,28986
1696,6455
1697,9808
1698,9105
1699,29079
1700,14253
1701,11683
1702,7186
1703,5472
1704,17065
1705,4008
1706,11848
1707,6516
1708,11682
