,KWH
9495,12907
9496,6086
9497,7073
9498,19276
9499,39483
9500,9530
9501,10162
9502,5492
9503,4054
9504,22110
9505,20271
9506,4871
9507,9767
9508,8374
9509,9508
9510,8425
9511,5136
9512,12551
9513,4715
9514,15405
9515,16235
9516,10192
9517,5305
9518,14473
9519,11385
9520,29040
9521,25894
9522,13371
9523,5262
9524,11656
9525,10985
9526,10847
9527,7707
9528,34534
9529,20546
9530,2376
9531,5562
9532,11271
9533,6221
9534,4855
9535,10001
9536,8177
9537,7072
9538,7621
9539,11350
9540,5227
9541,11153
9542,10096
9543,8822
9544,9983
9545,7894
9546,3753
9547,38068
9548,26950
9549,21417
9550,11241
9551,13583
9552,6746
9553,2696
9554,6706
9555,18797
9556,12794
9557,13760
9558,6122
9559,7585
9560,6072
9561,10164
9562,8648
9563,5639
9564,5443
9565,12810
9566,32723
9567,21328
9568,2160
9569,7345
9570,3594
9571,10917
9572,19864
9573,8407
9574,8883
9575,19513
9576,9432
9577,3095
9578,1478
9579,8402
9580,17714
9581,8354
9582,7896
9583,5881
9584,18648
9585,12827
9586,5234
9587,3235
9588,3875
9589,1510
9590,4211
9591,20511
9592,3811
9593,5664
9594,10345
9595,15326
9596,2093
9597,7911
9598,11344
9599,12044
9600,7075
9601,17306
9602,11835
9603,9726
9604,1980
9605,8075
9606,25725
9607,14067
9608,2822
9609,9203
9610,11373
9611,7626
9612,24479
9613,16567
9614,4564
9615,8642
9616,5718
9617,19001
9618,23329
9619,5503
9620,9652
9621,13046
9622,29460
9623,3174
9624,7818
9625,22090
9626,9079
9627,5811
9628,20050
9629,24312
9630,10062
9631,1689
9632,3741
9633,7818
9634,24351
9635,3706
9636,5284
9637,17092
9638,16257
9639,19964
9640,6600
9641,7978
9642,7701
9643,5869
9644,4708
9645,1900
9646,13128
9647,9382
9648,3134
9649,6455
9650,2537
9651,11947
9652,20453
9653,7209
9654,23898
9655,28418
9656,13910
9657,9403
9658,5774
9659,6547
9660,18604
9661,3685
9662,11284
9663,11337
9664,9434
9665,3166
9666,6045
9667,6300
9668,5432
9669,11836
9670,5171
9671,8334
9672,11962
9673,2137
9674,5703
9675,5002
9676,12644
9677,12336
9678,17459
9679,10931
9680,11465
9681,11858
9682,4322
9683,2796
9684,3038
9685,14355
9686,8723
9687,8251
9688,3767
9689,15086
9690,7715
9691,10745
9692,15137
9693,9182
9694,6745
9695,10653
9696,3895
9697,13501
9698,10012
9699,10261
9700,5604
9701,7798
9702,11272
9703,30043
9704,1031
9705,15756
9706,9104
9707,16745
9708,15776
9709,6541
9710,22422
9711,8019
9712,3574
9713,10323
9714,10784
9715,5501
9716,12600
9717,3880
9718,13953
9719,10169
9720,9451
9721,6389
9722,42136
9723,22339
9724,8282
9725,3709
9726,5017
9727,12555
9728,11463
9729,17132
9730,7327
9731,22954
9732,9450
9733,7481
9734,21106
9735,10688
9736,3562
9737,9395
9738,5114
9739,26328
9740,19171
9741,7594
9742,13560
9743,10753
9744,10903
9745,11315
9746,6082
9747,11249
9748,7502
9749,11569
9750,13192
9751,5166
9752,12649
9753,4756
9754,5260
9755,19879
9756,12844
9757,19680
9758,9435
9759,26426
9760,5059
9761,2234
9762,32913
9763,3797
9764,4770
9765,17253
9766,553
9767,21561
9768,19226
9769,3522
9770,11646
9771,10533
9772,4215
9773,9837
9774,15452
9775,5442
9776,14326
9777,5592
9778,3469
9779,14712
9780,5868
9781,20695
9782,802
9783,8817
9784,1996
9785,24287
9786,8312
9787,7304
9788,10127
9789,16444
9790,15974
9791,25391
9792,15363
9793,3943
9794,11285
9795,3117
9796,5711
9797,11110
9798,12304
9799,4633
9800,7177
9801,5476
9802,19899
9803,22975
9804,10220
9805,34443
9806,7521
9807,7326
9808,27071
9809,18648
9810,10851
9811,5663
9812,13597
9813,11492
9814,18919
9815,8277
9816,6199
9817,7889
9818,13372
9819,8358
9820,12188
9821,9892
9822,10126
9823,42470
9824,5401
9825,23960
9826,12860
9827,16814
9828,15629
9829,10052
9830,5131
9831,3546
9832,7850
9833,12130
9834,14466
9835,12744
9836,8968
9837,3900
9838,1953
9839,4549
9840,7490
9841,8511
9842,15080
9843,9605
9844,14588
9845,16414
9846,1912
9847,7428
9848,14998
9849,6238
9850,5700
9851,8406
9852,7260
9853,3974
9854,16993
9855,6646
9856,10223
9857,26593
9858,22553
9859,18761
9860,3757
9861,8359
9862,9446
9863,7685
9864,6516
9865,2658
9866,11211
9867,9311
9868,9244
9869,14845
9870,11482
9871,9798
9872,6785
9873,4599
9874,32600
9875,11693
9876,15129
9877,9104
9878,5639
9879,5894
9880,11003
9881,26267
9882,17658
9883,6296
9884,14346
9885,30614
9886,16151
9887,13164
9888,5090
9889,24424
9890,4287
9891,3368
9892,6517
9893,10904
9894,5117
9895,10500
9896,20892
9897,7271
9898,8293
9899,11829
9900,9466
9901,5124
9902,9704
9903,5197
9904,6930
9905,8758
9906,10365
9907,12542
9908,5483
9909,24822
9910,2530
9911,12339
9912,10661
9913,14924
9914,8615
9915,13541
9916,9747
9917,18852
9918,34809
9919,15727
9920,8426
9921,19483
9922,14430
9923,9112
9924,10718
9925,4636
9926,22396
9927,9690
9928,5812
9929,636
9930,12179
9931,13014
9932,11705
9933,4152
9934,33189
9935,6708
9936,15645
9937,9745
9938,2037
9939,13944
9940,3038
9941,4732
9942,7706
9943,13770
9944,17635
9945,6230
9946,22823
9947,10544
9948,13510
9949,9655
9950,13857
9951,1491
9952,31847
9953,16438
9954,19151
9955,7081
9956,6726
9957,9530
9958,6831
9959,9816
9960,11779
9961,4111
9962,15924
9963,19612
9964,11536
9965,16540
9966,3281
9967,6996
9968,10652
9969,24251
9970,15927
9971,13332
9972,10203
9973,10865
9974,16847
9975,5275
9976,8031
9977,9768
9978,10665
9979,6463
9980,7117
9981,16225
9982,10370
9983,9671
9984,11847
9985,22333
9986,6991
9987,7238
9988,22678
9989,5684
9990,9607
9991,5859
9992,5714
9993,8715
9994,10507
9995,7094
9996,29097
9997,10398
9998,8886
9999,37864
10000,5373
10001,7411
10002,4599
10003,2229
10004,13651
10005,9917
10006,13704
10007,31559
10008,18256
10009,13485
10010,10439
10011,11176
10012,2475
10013,6995
10014,17415
10015,14245
10016,8221
10017,15761
10018,19285
10019,5243
10020,5210
10021,21197
10022,12245
10023,12018
10024,5206
10025,15342
10026,15021
10027,29378
10028,11671
10029,13717
10030,24110
10031,12968
10032,5366
10033,24968
10034,13633
10035,5169
10036,5895
10037,14949
10038,2907
10039,15587
10040,8076
10041,8611
10042,13499
10043,11975
10044,18192
10045,9024
10046,21358
10047,10526
10048,18132
10049,6142
10050,6489
10051,16524
10052,4362
10053,4420
10054,15125
10055,16700
10056,5590
10057,5564
10058,4218
10059,9795
10060,4036
10061,11422
10062,8772
10063,3568
10064,9874
10065,13221
10066,8603
10067,4673
10068,23933
10069,13315
10070,13186
10071,16760
10072,8456
10073,21439
10074,6313
10075,11595
10076,7907
10077,24494
10078,18126
10079,8162
10080,10663
10081,12543
10082,5813
10083,4219
10084,9174
10085,8768
10086,13630
10087,27715
10088,6428
10089,7173
10090,8433
10091,10102
10092,12123
10093,3905
10094,7192
10095,2239
10096,5377
10097,15640
10098,3796
10099,12061
10100,6976
10101,18435
10102,7196
10103,25234
10104,11307
10105,17640
10106,16049
10107,7595
10108,11579
10109,5392
10110,7254
10111,11159
10112,3552
10113,14616
10114,9513
10115,27682
10116,9037
10117,6387
10118,7140
10119,3693
10120,11448
10121,29403
10122,6943
10123,18580
10124,11266
10125,21098
10126,8595
10127,11103
10128,6874
10129,9442
10130,7754
10131,15337
10132,9401
10133,6818
10134,3781
10135,13551
10136,4813
10137,9768
10138,11380
10139,4328
10140,12568
10141,4844
10142,22188
10143,24375
10144,7917
10145,16855
10146,5509
10147,9556
10148,9464
10149,6257
10150,21687
10151,13523
10152,21368
10153,14018
10154,13344
10155,5807
10156,3513
10157,3525
10158,13690
10159,3776
10160,17240
10161,17539
10162,7961
10163,4017
10164,27267
10165,2201
10166,12051
10167,10537
10168,2424
10169,4467
10170,10147
10171,17801
10172,5522
10173,11267
10174,17993
10175,6087
10176,11122
10177,5720
10178,2363
10179,25710
10180,10580
10181,18811
10182,12728
10183,6516
10184,13932
10185,11763
10186,19075
10187,15422
10188,40603
10189,17693
10190,3906
10191,1933
10192,12156
10193,12961
10194,1350
10195,4761
10196,16735
10197,15233
10198,2401
10199,13257
10200,12510
10201,4457
10202,25109
10203,6009
10204,8519
10205,13188
10206,10545
10207,14390
10208,5813
10209,8202
10210,6928
10211,20052
10212,9116
10213,8383
10214,7240
10215,9157
10216,12496
10217,9599
10218,17812
10219,12340
10220,64232
10221,334
10222,15557
10223,10072
10224,6067
10225,3783
10226,11604
10227,7192
10228,25814
10229,10257
10230,30342
10231,3628
10232,20418
10233,12598
10234,3592
10235,8317
10236,7014
10237,4025
10238,3031
10239,4266
10240,7543
10241,14925
10242,9084
10243,8697
10244,3798
10245,2902
10246,6620
10247,17803
10248,17239
10249,11400
10250,11256
10251,1390
10252,3994
10253,4375
10254,11544
10255,16826
10256,6013
10257,3569
10258,4826
10259,19241
10260,4231
10261,21086
10262,14732
10263,29958
10264,7023
10265,14273
10266,17635
10267,26813
10268,5653
10269,7982
10270,18452
10271,5864
10272,10376
10273,14503
10274,16672
10275,34918
10276,7890
10277,11645
10278,3557
10279,13059
10280,7240
10281,3925
10282,24728
10283,14620
10284,8065
10285,2711
10286,14337
10287,5762
10288,4986
10289,2686
10290,6309
10291,11066
10292,3529
10293,9894
10294,9652
10295,7569
10296,26077
10297,4705
10298,2892
10299,11004
10300,5689
10301,6417
10302,2876
10303,12381
10304,12425
10305,8226
10306,23756
10307,8721
10308,4394
10309,9396
10310,4506
10311,3091
10312,7264
10313,4104
10314,3710
10315,7181
10316,10691
10317,12191
10318,14965
10319,26635
10320,3385
10321,2594
10322,6279
10323,13789
10324,9154
10325,9580
10326,7908
10327,13859
10328,30513
10329,10300
10330,4330
10331,14011
10332,19782
10333,3011
10334,16604
10335,11962
10336,2017
10337,10170
10338,9978
10339,908
10340,3604
10341,6014
10342,15882
10343,23439
10344,18176
10345,32395
10346,17745
10347,4567
10348,8459
10349,14371
10350,3850
10351,6985
10352,13564
10353,12022
10354,15067
10355,16410
10356,25972
10357,5308
10358,10777
10359,13470
10360,3401
10361,2170
10362,4858
10363,12555
10364,22933
10365,4466
10366,8528
10367,5020
10368,3619
10369,12767
10370,18675
10371,3073
10372,13785
10373,11351
10374,9933
10375,9441
10376,9715
10377,21293
10378,33878
10379,1871
10380,6675
10381,6130
10382,7841
10383,16015
10384,25850
10385,13853
10386,6241
10387,5500
10388,6172
10389,9205
10390,10660
10391,17966
10392,16647
10393,7434
10394,18808
10395,10151
10396,13555
10397,22341
10398,3135
10399,7513
10400,2303
10401,8124
10402,11516
10403,11851
10404,17171
10405,6768
10406,5862
10407,15826
10408,11238
10409,13901
10410,12841
10411,10299
10412,15908
10413,17587
10414,18166
10415,5801
10416,14243
10417,13727
10418,11390
10419,19464
10420,7944
10421,57562
10422,7798
10423,16898
10424,3896
10425,7342
10426,5380
10427,24099
10428,13945
10429,25543
10430,10973
10431,16503
10432,4224
10433,5490
10434,9075
10435,16341
10436,6055
10437,13642
10438,11969
10439,3119
10440,14601
10441,20816
10442,13195
10443,22731
10444,5152
10445,10629
10446,15961
10447,6566
10448,6076
10449,4234
10450,6174
10451,15299
10452,3137
10453,11337
10454,4867
10455,15124
10456,4397
10457,6321
10458,6766
10459,16229
10460,2843
10461,6992
10462,6628
10463,7621
10464,9297
10465,8154
10466,8345
10467,8000
10468,15711
10469,21465
10470,6078
10471,4936
10472,6351
10473,7919
10474,1962
10475,17519
10476,4515
10477,5013
10478,6586
10479,8923
10480,16104
10481,6731
10482,14942
10483,13779
10484,26663
10485,10029
10486,5440
10487,18355
10488,4052
10489,16040
10490,17144
10491,3345
10492,4190
10493,4623
10494,22292
10495,10841
10496,2150
10497,10925
10498,3272
10499,10530
10500,13812
10501,13264
10502,13997
10503,5227
10504,15654
10505,10473
10506,11770
10507,10472
10508,3535
10509,1863
10510,17171
10511,3972
10512,6761
10513,14639
10514,9787
10515,22114
10516,5884
10517,5771
10518,11219
10519,14481
10520,9407
10521,3200
10522,12020
10523,3041
10524,4226
10525,9066
10526,5277
10527,9001
10528,9716
10529,2416
10530,11505
10531,3313
10532,8178
10533,3788
10534,4912
10535,10254
10536,10686
10537,18703
10538,7369
10539,13747
10540,5629
10541,1045
10542,3845
10543,6961
10544,13250
10545,18359
10546,8897
10547,10340
10548,4605
10549,13648
10550,6080
10551,6963
10552,6529
10553,14082
10554,6936
10555,14010
10556,10712
10557,4975
10558,13094
10559,2464
10560,10286
10561,20421
10562,15534
10563,18901
10564,5781
10565,27942
10566,8947
10567,3593
10568,5040
10569,3334
10570,3721
10571,4842
10572,8724
10573,9778
10574,26079
10575,9516
10576,12010
10577,8626
10578,16311
10579,13438
10580,21743
10581,9349
10582,5734
10583,9302
10584,1713
10585,16423
10586,12145
10587,11642
10588,15099
10589,31548
10590,3443
10591,3774
10592,4964
10593,5546
10594,5581
10595,9009
10596,4532
10597,34265
10598,8686
10599,2252
10600,19461
10601,13212
10602,5679
10603,4144
10604,7040
10605,12274
10606,26684
10607,14357
10608,8742
10609,9082
10610,8105
10611,17855
10612,21875
10613,6078
10614,11306
10615,4503
10616,4721
10617,34839
10618,5106
10619,10578
10620,6893
10621,6214
10622,4544
10623,9306
10624,18692
10625,10598
10626,12112
10627,6203
10628,11598
10629,15770
10630,14585
10631,4691
10632,7207
10633,10126
10634,17018
10635,12817
10636,8458
10637,12468
10638,21754
10639,8163
10640,14785
10641,7903
10642,11487
10643,3453
10644,8926
10645,4675
10646,8410
10647,18296
10648,12413
10649,19765
10650,3581
10651,27512
10652,19097
10653,3946
10654,5143
10655,19499
10656,2314
10657,6945
10658,6129
10659,2764
10660,15838
10661,3092
10662,13655
10663,6991
10664,10643
10665,10773
10666,6683
10667,4867
10668,8384
10669,17785
10670,3659
10671,3027
10672,15759
10673,6146
10674,22282
10675,18535
10676,23071
10677,3249
10678,1118
10679,11143
10680,4263
10681,3453
10682,2586
10683,8216
10684,12628
10685,5983
10686,950
10687,7819
10688,10457
10689,12972
10690,7580
10691,36438
10692,4427
10693,3340
10694,11948
10695,22263
10696,11299
10697,5368
10698,19538
10699,6110
10700,7041
10701,8896
10702,5924
10703,5805
10704,8592
10705,11738
10706,6503
10707,16232
10708,14356
10709,11948
10710,20475
10711,16187
10712,839
10713,8671
10714,6013
10715,4376
10716,3012
10717,5642
10718,12942
10719,25379
10720,23517
10721,8768
10722,5504
10723,29750
10724,7546
10725,8147
10726,9367
10727,4981
10728,1401
10729,8854
10730,15550
10731,12402
10732,5661
10733,6177
10734,2243
10735,13373
10736,13670
10737,15797
10738,2655
10739,5099
10740,17573
10741,8667
10742,3645
10743,14387
10744,4424
10745,2359
10746,15417
10747,9936
10748,15964
10749,20053
10750,8861
10751,20961
10752,4278
10753,6026
10754,6006
10755,16030
10756,44268
10757,20946
10758,14158
10759,7249
10760,10673
10761,4075
10762,5876
10763,5873
10764,6552
10765,17733
10766,29740
10767,5914
10768,10610
10769,5236
10770,11849
10771,13135
10772,5226
10773,15538
10774,19141
10775,12847
10776,15754
10777,9947
10778,11156
10779,2337
10780,4533
10781,6125
10782,2623
10783,7254
10784,5613
10785,2198
10786,5855
10787,13030
10788,15847
10789,54576
10790,13165
10791,8530
10792,19987
10793,8619
10794,16096
10795,13717
10796,11691
10797,12902
10798,6999
10799,25427
10800,12830
10801,9596
10802,4916
10803,19015
10804,21439
10805,5894
10806,11995
10807,13664
10808,5308
10809,10922
10810,20585
10811,6653
10812,17242
10813,10323
10814,17648
10815,11888
10816,18853
10817,9695
10818,8199
10819,18682
10820,31089
10821,3612
10822,13448
10823,5175
10824,3354
10825,8587
10826,22525
10827,13796
10828,10070
10829,25560
10830,8089
10831,17250
10832,14688
10833,12664
10834,17391
10835,3714
10836,6151
10837,8247
10838,16295
10839,17102
10840,4606
10841,4125
10842,4473
10843,5643
10844,20244
10845,1397
10846,9331
10847,7246
10848,15731
10849,9230
10850,13739
10851,3553
10852,3723
10853,9932
10854,23720
10855,10756
10856,17260
10857,20061
10858,9934
10859,10877
10860,6620
10861,3022
10862,19168
10863,8211
10864,7925
10865,10257
10866,3406
10867,15636
10868,13360
10869,22887
10870,15737
10871,8543
10872,22117
10873,11010
10874,9926
10875,8054
10876,3209
10877,17442
10878,10159
10879,1509
10880,11612
10881,10482
10882,28989
10883,13658
10884,13666
10885,7202
10886,13581
10887,6502
10888,8693
10889,20160
10890,10206
10891,1161
10892,23485
10893,12452
10894,3112
10895,12780
10896,2188
10897,5898
10898,11894
10899,8492
10900,9966
10901,19840
10902,10518
10903,4178
10904,8133
10905,11230
10906,19576
10907,13872
10908,9008
10909,4520
10910,15001
10911,5234
10912,3555
10913,6926
10914,2821
10915,17194
10916,8930
10917,3811
10918,8015
10919,23975
10920,18105
10921,7297
10922,9585
10923,13797
10924,22232
10925,6793
10926,1200
10927,9973
10928,17932
10929,8023
10930,15352
10931,13193
10932,5812
10933,14321
10934,6585
10935,22692
10936,4703
10937,2859
10938,8744
10939,5668
10940,3082
10941,6313
10942,10840
10943,3956
10944,19719
10945,17448
10946,13310
10947,15556
10948,27564
10949,15114
10950,8408
10951,12071
10952,21526
10953,8949
10954,7477
10955,35158
10956,6098
10957,21846
10958,8682
10959,14524
10960,14069
10961,6758
10962,16564
10963,6725
10964,1298
10965,4055
10966,5703
10967,2545
10968,18879
10969,18520
10970,25048
10971,6956
10972,34120
10973,23054
10974,26177
10975,18877
10976,13400
10977,14579
10978,21084
10979,13062
10980,14742
10981,27071
10982,6933
10983,4998
10984,3076
10985,8963
10986,10997
10987,3835
10988,15326
10989,1688
10990,7996
10991,6208
10992,21852
10993,11595
10994,9701
10995,7479
10996,2276
10997,8940
10998,24505
10999,11544
11000,6867
11001,6169
11002,22164
11003,7574
11004,10415
11005,13711
11006,7509
11007,4611
11008,6039
11009,14685
11010,15780
11011,2836
11012,7096
11013,18910
11014,15885
11015,13200
11016,24946
11017,22947
11018,20724
11019,5997
11020,5375
11021,10192
11022,2931
11023,13121
11024,3198
11025,4007
11026,14057
11027,14363
11028,4455
11029,8049
11030,9686
11031,8750
11032,8022
11033,13052
11034,6297
11035,3294
11036,2361
11037,5098
11038,12684
11039,12347
11040,4585
11041,3201
11042,9541
11043,14485
11044,8807
11045,8062
11046,12355
11047,5361
11048,18783
11049,1198
11050,11141
11051,8853
11052,13175
11053,6206
11054,20417
11055,12793
11056,6155
11057,15750
11058,10555
11059,1739
11060,21322
11061,5788
11062,15522
11063,8819
11064,10953
11065,11003
11066,3946
11067,11218
11068,6306
11069,9267
11070,11088
11071,12153
11072,17274
11073,4895
11074,11106
11075,3696
11076,4899
11077,13882
11078,16592
11079,16168
11080,4286
11081,6596
11082,20074
11083,15590
11084,9305
11085,31415
11086,12378
11087,16495
11088,22170
11089,10364
11090,5089
11091,8773
11092,9457
11093,5384
11094,15327
11095,3942
11096,4904
11097,3629
11098,17197
11099,8231
11100,15239
11101,13862
11102,21294
11103,5602
11104,4556
11105,7131
11106,5702
11107,8040
11108,14298
11109,9016
11110,15203
11111,13170
11112,16407
11113,2355
11114,23706
11115,11958
11116,9537
11117,7360
11118,1933
11119,18404
11120,31137
11121,15467
11122,19367
11123,11493
11124,8374
11125,7452
11126,19001
11127,28966
11128,5902
11129,3733
11130,6943
11131,35678
11132,10628
11133,11733
11134,6565
11135,28160
11136,22843
11137,8019
11138,12148
11139,10964
11140,15426
11141,9174
11142,14655
11143,10287
11144,17083
11145,33842
11146,10699
11147,8911
11148,12172
11149,7428
11150,7484
11151,7373
11152,11247
11153,10083
11154,5632
11155,18034
11156,7609
11157,33545
11158,12970
11159,26732
11160,17581
11161,7378
11162,5595
11163,9623
11164,15256
11165,14095
11166,12091
11167,8725
11168,20018
11169,8432
11170,16651
11171,4401
11172,13648
11173,8417
11174,7328
11175,13699
11176,10189
11177,14165
11178,9114
11179,11727
11180,5647
11181,11062
11182,8859
11183,3919
11184,4338
11185,5393
11186,13963
11187,3688
11188,12022
11189,3075
11190,7018
11191,13019
11192,10017
11193,12590
11194,12162
11195,8386
11196,7748
11197,3969
11198,17520
11199,7724
11200,6217
11201,4781
11202,13666
11203,12336
11204,22862
11205,10263
11206,11936
11207,9363
11208,14506
11209,2641
11210,32137
11211,4107
11212,8574
11213,16923
11214,3552
11215,26334
11216,15586
11217,9140
11218,6096
11219,4942
11220,18306
11221,12080
11222,14279
11223,10083
11224,3224
11225,15003
11226,31402
11227,14657
11228,8666
11229,4889
11230,11088
11231,5803
11232,10932
11233,37411
11234,16443
11235,11721
11236,12255
11237,10091
11238,17230
11239,11542
11240,9690
11241,10879
11242,6714
11243,10758
11244,5927
11245,27174
11246,21170
11247,12760
11248,4352
11249,34932
11250,44768
11251,12125
11252,30384
11253,7031
11254,8921
11255,9868
11256,12058
11257,6625
11258,12168
11259,10205
11260,4463
11261,11345
11262,20006
11263,16364
11264,13921
11265,12089
11266,19637
11267,9682
11268,10769
11269,3673
11270,1546
11271,9719
11272,8870
11273,9329
11274,20992
11275,5949
11276,14233
11277,50
11278,9894
11279,3723
11280,23874
11281,15373
11282,8945
11283,6814
11284,15803
11285,9605
11286,17824
11287,4547
11288,18140
11289,18096
11290,1999
11291,8341
11292,18572
11293,8909
11294,6554
11295,3639
11296,4759
11297,3406
11298,15975
11299,9095
11300,7331
11301,26177
11302,8208
11303,4649
11304,12625
11305,14771
11306,7967
11307,19555
11308,4531
11309,13128
11310,8733
11311,14840
11312,13592
11313,6104
11314,22130
11315,25623
11316,22639
11317,16125
11318,5342
11319,5092
11320,8665
11321,18138
11322,3892
11323,22782
11324,9283
11325,423
11326,26050
11327,7448
11328,8829
11329,5808
11330,16335
11331,12850
11332,6168
11333,14894
11334,4881
11335,5388
11336,24299
11337,20544
11338,9760
11339,7994
11340,5939
11341,12804
11342,15134
11343,22774
11344,7120
11345,13296
11346,4952
11347,16470
11348,5046
11349,5498
11350,21579
11351,3954
11352,25131
11353,5564
11354,4695
11355,17570
11356,8326
11357,2221
11358,5064
11359,3997
11360,6745
11361,6233
11362,7440
11363,20007
11364,6427
11365,12647
11366,5904
11367,2761
11368,4352
11369,17612
11370,26597
11371,8900
11372,8149
11373,7996
11374,19806
11375,19132
11376,16510
11377,43556
11378,9865
11379,3630
11380,13142
11381,8392
11382,1496
11383,13425
11384,3778
11385,7878
11386,1667
11387,2700
11388,16703
11389,5673
11390,21924
11391,11019
11392,10097
11393,11280
11394,9772
11395,8108
11396,12532
11397,10680
11398,12912
11399,6435
11400,9339
11401,11729
11402,15192
11403,5965
11404,3173
11405,2115
11406,5518
11407,9433
11408,12581
11409,18719
11410,7258
11411,3633
11412,8984
11413,26031
11414,12529
11415,2376
11416,2614
11417,3316
11418,3193
11419,3717
11420,16016
11421,15448
11422,19562
11423,14799
11424,3535
11425,2772
11426,6308
11427,1941
11428,7397
11429,10748
11430,6310
11431,16046
11432,12589
11433,21624
11434,16948
11435,3415
11436,7644
11437,6476
11438,11550
11439,3199
11440,7678
11441,3594
11442,3592
11443,6924
11444,4691
11445,7140
11446,578
11447,23650
11448,4439
11449,6437
11450,9300
11451,18183
11452,13380
11453,13958
11454,25043
11455,10677
11456,18236
11457,9280
11458,16763
11459,21201
11460,15095
11461,11868
11462,7808
11463,4563
11464,2565
11465,32196
11466,26712
11467,14290
11468,14272
11469,12369
11470,13125
11471,7404
11472,21127
11473,8462
11474,11864
11475,16492
11476,20363
11477,2591
11478,4509
11479,17339
11480,21811
11481,7419
11482,7365
11483,7187
11484,3162
11485,7524
11486,7146
11487,8384
11488,15925
11489,27434
11490,8035
11491,12303
11492,8854
11493,12421
11494,8953
11495,5928
11496,19000
11497,9914
11498,24358
11499,6824
11500,13911
11501,11247
11502,31576
11503,32079
11504,5833
11505,21607
11506,3061
11507,2907
11508,13494
11509,4389
11510,10738
11511,11779
11512,1970
11513,13084
11514,17048
11515,18665
11516,12044
11517,27089
11518,8562
11519,5277
11520,13667
11521,8008
11522,5332
11523,21433
11524,5936
11525,6283
11526,13917
11527,15050
11528,15810
11529,19642
11530,12657
11531,13206
11532,3980
11533,3780
11534,17595
11535,11334
11536,6039
11537,7381
11538,11020
11539,5407
11540,6843
11541,8032
11542,17730
11543,34599
11544,4835
11545,4140
11546,11474
11547,36484
11548,15566
11549,21612
11550,12794
11551,7176
11552,8949
11553,7211
11554,9523
11555,8163
11556,8914
11557,7894
11558,24413
11559,7731
11560,27345
11561,2694
11562,8103
11563,18431
11564,2893
11565,7551
11566,11687
11567,20866
11568,9442
11569,3573
11570,11575
11571,37657
11572,5222
11573,9181
11574,676
11575,20039
11576,7482
11577,8993
11578,6953
11579,7482
11580,13988
11581,9181
11582,10258
11583,15415
11584,3376
11585,17237
11586,2196
11587,9758
11588,18660
11589,11087
11590,31009
11591,3761
11592,1830
11593,5054
11594,4627
11595,4685
11596,29169
11597,22489
11598,8861
11599,9201
11600,3317
11601,8310
11602,4227
11603,5550
11604,3508
11605,3385
11606,7714
11607,4815
11608,4694
11609,14183
11610,14863
11611,3322
11612,1553
11613,5734
11614,1796
11615,41620
11616,19996
11617,12903
11618,11074
11619,3316
11620,4647
11621,20216
11622,6507
11623,12139
11624,18810
11625,26905
11626,11930
11627,12887
11628,2935
11629,6426
11630,7449
11631,16086
11632,1381
11633,6392
11634,34653
11635,11022
11636,3779
11637,12468
11638,1482
11639,13129
11640,23705
11641,2520
11642,5824
11643,18156
11644,9920
11645,7861
11646,9480
11647,20665
11648,8863
11649,3902
11650,15020
11651,7216
11652,9135
11653,8516
11654,4080
11655,12550
11656,1499
11657,15320
11658,23557
11659,28776
11660,9513
11661,15062
11662,3292
11663,3333
11664,4598
11665,22737
11666,8222
11667,7534
11668,10872
11669,6074
11670,2800
11671,16140
11672,3042
11673,4480
11674,14621
11675,3673
11676,6395
11677,19300
11678,2467
11679,7539
11680,20800
11681,11446
11682,35039
11683,5970
11684,7799
11685,5152
11686,8939
11687,10982
11688,26728
11689,13964
11690,12612
11691,3266
11692,12468
11693,9791
11694,18409
11695,10576
11696,6956
11697,7861
11698,6422
11699,4914
11700,3211
11701,19631
11702,6335
11703,14826
11704,13478
11705,13851
11706,8003
11707,2505
11708,6553
11709,1450
11710,7752
11711,18057
11712,4994
11713,6771
11714,2793
11715,26634
11716,11994
11717,16209
11718,20610
11719,2494
11720,16578
11721,3793
11722,38111
11723,16281
11724,7489
11725,4537
11726,7650
11727,9025
11728,8005
11729,7637
11730,6916
11731,2613
11732,11300
11733,17200
11734,12415
11735,2448
11736,7218
11737,22708
11738,23598
11739,3128
11740,8235
11741,12540
11742,12255
11743,5614
11744,3418
11745,12072
11746,6931
11747,13482
11748,26860
11749,7279
11750,7259
11751,4000
11752,8689
11753,10153
11754,11940
11755,6975
11756,15141
11757,2526
11758,15147
11759,11850
11760,8273
11761,23564
11762,19487
11763,8065
11764,4501
11765,16695
11766,6378
11767,7893
11768,8637
11769,10060
11770,14962
11771,14808
11772,16177
11773,11277
11774,7644
11775,9581
11776,17566
11777,9130
11778,12562
11779,8043
11780,8869
11781,7401
11782,7483
11783,6553
11784,2819
11785,23897
11786,8532
11787,19696
11788,19153
11789,6568
11790,3524
11791,19187
11792,7622
11793,11041
11794,5600
11795,7508
11796,2393
11797,14069
11798,3907
11799,8868
11800,8900
11801,8647
11802,2917
11803,8379
11804,7603
11805,2513
11806,36118
11807,19390
11808,11191
11809,3362
11810,12139
11811,7815
11812,6599
11813,2980
11814,9418
11815,14354
11816,3641
11817,3480
11818,15894
11819,12202
11820,2252
11821,3304
11822,4415
11823,5979
11824,5216
11825,8800
11826,16255
11827,8980
11828,16217
