,NWEIGHT
1280,15716.66673
1281,7706.006876
1282,5459.327461
1283,8050.406714
1284,14629.95206
1285,5414.539412
1286,8959.856946
1287,4133.5565799999995
1288,10128.15451
1289,17230.62976
1290,8727.650114
1291,16004.674830000002
1292,8576.35094
1293,6576.850074
1294,6297.037328
1295,3894.9871799999996
1296,7999.785834
1297,5381.467147
1298,11518.53643
1299,6822.465186
1300,6424.701568
1301,13109.08785
1302,4697.213368
1303,5128.659087
1304,5313.712953
1305,4625.84065
1306,19924.40503
1307,2767.9630850000003
1308,8605.817258
1309,3684.9828049999996
1310,10063.58248
1311,7169.306702
1312,2676.100547
1313,7962.720452
1314,16847.449819999998
1315,8465.262101999999
1316,10249.22564
1317,6373.545669
1318,3141.5960489999998
1319,4033.274036
1320,6792.336442
1321,15864.345130000002
1322,12550.17116
1323,9331.369337
1324,4634.223443
1325,7100.18661
1326,16699.16111
1327,6054.970763
1328,7489.172213
1329,6054.970875
1330,14526.64681
1331,9550.265714
1332,11942.44781
1333,7305.364877
1334,2944.317489
1335,9950.481522
1336,12582.29837
1337,27399.32528
1338,2778.259194
1339,8244.447517
1340,8290.540365
1341,9367.361047
1342,12746.71938
1343,12779.401609999999
1344,4569.51589
1345,4956.0266759999995
1346,4197.3404310000005
1347,7634.591653
1348,11849.22697
1349,17230.62804
1350,9260.441939
1351,6882.44199
1352,4971.92408
1353,6763.237429000001
1354,8326.848018
1355,8410.39345
1356,24301.07697
1357,11330.02409
1358,5629.099554
1359,5862.854969
1360,5463.406724
1361,6373.545763
1362,12661.57839
1363,2935.682467
1364,4088.051261
1365,6576.849727000001
1366,4724.460469
1367,4751.97176
1368,16250.3495
1369,11174.23025
1370,16847.447030000003
1371,9308.545812
1372,7951.520726000001
1373,9433.477621
1374,5128.6597090000005
1375,6282.723497999999
1376,7169.307012
1377,2778.2589350000003
1378,17891.40796
1379,8634.543389
1380,8236.084894
1381,9433.477621
1382,10845.19302
1383,6193.323996
1384,12550.177109999999
1385,3123.005721
1386,11141.993559999999
1387,10806.57262
1388,9709.409584
1389,8236.297842
1390,11838.585720000001
1391,4224.003272999999
1392,13492.500380000001
1393,4912.402876
1394,7465.529694
1395,13118.93917
1396,4224.003935
1397,7130.805164
1398,19232.31422
1399,8465.261584
1400,6466.4214170000005
1401,4739.702389
1402,5699.762678
1403,10031.78809
1404,3988.544387
1405,6552.252904999999
1406,19823.35839
1407,16521.910219999998
1408,4697.21358
1409,2778.2590379999997
1410,10128.102840000001
1411,22051.81242
1412,7604.879405
1413,4912.402879
1414,6054.971186
1415,11394.80297
1416,6900.462339
1417,6054.970805
1418,7960.926939
1419,8237.066005
1420,7945.978343000001
1421,11875.70824
1422,3875.426371
1423,8605.817258
1424,8324.527774
1425,9153.522036
1426,5763.042259000001
1427,5165.343851
1428,7420.451547
1429,8338.144081
1430,5463.407429
1431,12810.12456
1432,7229.7554900000005
1433,7229.7554900000005
1434,9431.330919
1435,11525.60707
1436,3242.224396
1437,11849.235540000001
1438,9737.418528
1439,11145.465979999999
1440,5621.058454999999
1441,15139.03696
1442,6447.563627
1443,13960.19786
1444,11331.06334
1445,7264.469778
1446,14549.0821
1447,6663.620225
1448,8500.603810999999
1449,8788.4813
1450,7826.429445999999
1451,9229.512386
1452,5675.9873210000005
1453,3487.0932299999995
1454,5406.005193
1455,17063.79799
1456,13218.5925
1457,9036.608585
1458,9909.892481
1459,9194.70118
1460,32289.59473
1461,10227.70203
1462,6552.242800999999
1463,5800.446897
1464,7659.211918999999
1465,12110.191429999999
1466,12469.421890000001
1467,13625.19531
1468,5128.659453
1469,6893.965396
1470,7096.835275
1471,7208.1010799999995
1472,9737.421453
1473,7169.30562
1474,4020.1876350000002
1475,10310.21206
1476,5629.099104999999
1477,9623.682217
1478,18689.60918
1479,9914.926313
1480,2886.607762
1481,8274.019206
1482,7951.520605
1483,17110.211069999998
1484,5019.889793
1485,7703.425754000001
1486,3773.9734840000006
1487,12407.5734
1488,5675.9873210000005
1489,5177.5406920000005
1490,4065.8276130000004
1491,7326.176316
1492,12100.5282
1493,5403.89631
1494,5629.0987350000005
1495,7955.394224
1496,6912.436198
1497,4254.680502
1498,14625.77716
1499,9623.685512
1500,14998.97185
1501,5181.02309
1502,7341.3163700000005
1503,6252.347896
1504,10815.20825
1505,19577.59754
1506,14533.03897
1507,5878.402171
